date,RaceData01_time,area,race_no,umaban,horse_name,y_pred_value,y_pred_rank,odds_2,y_pred_value_race_rank,race_id
2022-11-14,11:45発走,盛岡,1,1,ヤマニンエピュレ,69.84735545836966,1.0,,4.0,202235111401
2022-11-14,11:45発走,盛岡,1,7,カミデセンプウ,56.2099680100836,2.0,,4.0,202235111401
2022-11-14,11:45発走,盛岡,1,3,ルクスリリー,53.31268648993922,3.0,,4.0,202235111401
2022-11-14,11:45発走,盛岡,1,8,ユニティコ,48.13734592463802,4.0,,4.0,202235111401
2022-11-14,11:45発走,盛岡,1,4,ミルキー,46.795589017357386,5.0,,4.0,202235111401
2022-11-14,11:45発走,盛岡,1,6,アンドレア,43.98260880481604,6.0,,4.0,202235111401
2022-11-14,11:45発走,盛岡,1,5,ベルマリエ,41.04247472536605,7.0,,4.0,202235111401
2022-11-14,11:45発走,盛岡,1,2,シュルプリーズ,40.67197156942983,8.0,,4.0,202235111401
2022-11-14,12:20発走,盛岡,2,7,シャイニーダイヤ,61.263211324309914,1.0,,10.0,202235111402
2022-11-14,12:20発走,盛岡,2,2,ホイッスルヴォイス,56.753073932411326,2.0,,10.0,202235111402
2022-11-14,12:20発走,盛岡,2,1,ドラゴンツリー,53.23575852303809,3.0,,10.0,202235111402
2022-11-14,12:20発走,盛岡,2,5,ソウダチ,52.33851075490988,4.0,,10.0,202235111402
2022-11-14,12:20発走,盛岡,2,6,パリノホノオ,50.276992783904376,5.0,,10.0,202235111402
2022-11-14,12:20発走,盛岡,2,8,クリアウェーブ,46.77851120937855,6.0,,10.0,202235111402
2022-11-14,12:20発走,盛岡,2,3,ベギーアデ,45.03702374514489,7.0,,10.0,202235111402
2022-11-14,12:20発走,盛岡,2,4,ジュアン,34.31691772690316,8.0,,10.0,202235111402
2022-11-14,12:55発走,盛岡,3,1,マントゥノン,64.14809757913257,1.0,,6.0,202235111403
2022-11-14,12:55発走,盛岡,3,8,ヤマニンドールアイ,62.93513786969418,2.0,,6.0,202235111403
2022-11-14,12:55発走,盛岡,3,10,モカ,57.15499123578344,3.0,,6.0,202235111403
