date,area,race_no,umaban,horse_name,y_pred_value,y_pred_rank,odds_2,race_id
2022-11-05,福島,1,1,スングリダンダン,59.1,5.0,12.4,202203030101
2022-11-05,福島,1,2,テリオスドン,41.7,13.0,56.2,202203030101
2022-11-05,福島,1,3,ドナルビー,60.7,3.0,4.0,202203030101
2022-11-05,福島,1,4,バサラ,47.4,9.0,17.4,202203030101
2022-11-05,福島,1,5,オウユーナッシング,39.6,14.0,22.9,202203030101
2022-11-05,福島,1,6,ルクスメテオール,63.1,1.0,6.9,202203030101
2022-11-05,福島,1,7,グラスヴィガー,50.0,8.0,6.4,202203030101
2022-11-05,福島,1,8,ビルカール,50.7,7.0,8.3,202203030101
2022-11-05,福島,1,9,ストロベリーツー,46.1,11.0,45.7,202203030101
2022-11-05,福島,1,10,エコロレジーナ,58.6,6.0,13.6,202203030101
2022-11-05,福島,1,11,レアジーニアス,62.7,2.0,4.2,202203030101
2022-11-05,福島,1,12,ベベ,59.7,4.0,20.3,202203030101
2022-11-05,福島,1,13,タッカーカムカム,36.3,15.0,38.5,202203030101
2022-11-05,福島,1,14,シュガープラム,46.6,10.0,38.5,202203030101
2022-11-05,福島,1,15,カンタベリーガール,35.2,16.0,22.9,202203030101
2022-11-05,福島,1,16,イブシギン,42.5,12.0,60.8,202203030101
2022-11-05,福島,2,1,クリノリアルレディ,51.5,8.0,27.7,202203030102
2022-11-05,福島,2,2,ブーバー,42.7,13.0,40.1,202203030102
2022-11-05,福島,2,3,ヴィオレーヌ,44.4,12.0,51.5,202203030102
2022-11-05,福島,2,4,ウェンダヴズクライ,44.8,11.0,27.7,202203030102
2022-11-05,福島,2,5,コズミックコール,49.9,9.0,14.4,202203030102
2022-11-05,福島,2,6,オーサムサンライズ,60.8,3.0,4.6,202203030102
2022-11-05,福島,2,7,チャイボーグ,46.4,10.0,19.0,202203030102
2022-11-05,福島,2,8,ミルレーヴ,37.9,15.0,45.1,202203030102
2022-11-05,福島,2,9,ラクサパーナ,52.3,7.0,8.4,202203030102
2022-11-05,福島,2,10,フェリキタス,65.8,1.0,3.1,202203030102
2022-11-05,福島,2,11,テセラフィリア,35.1,16.0,357.4,202203030102
2022-11-05,福島,2,12,カッテミル,57.5,4.0,8.7,202203030102
2022-11-05,福島,2,13,ピンクジン,60.8,2.0,6.6,202203030102
2022-11-05,福島,2,14,グリーミージュエル,38.1,14.0,11.5,202203030102
2022-11-05,福島,2,15,クレイプマートル,57.3,5.0,25.8,202203030102
2022-11-05,福島,2,16,ノーブルトラップ,54.8,6.0,20.0,202203030102
2022-11-05,福島,3,1,スマートビクター,60.3,2.0,3.4,202203030103
2022-11-05,福島,3,2,ゼニット,47.1,11.0,52.6,202203030103
2022-11-05,福島,3,3,インディペンデント,50.6,9.0,21.3,202203030103
2022-11-05,福島,3,4,サパテアール,58.0,3.0,15.5,202203030103
2022-11-05,福島,3,5,オニジオオタニ,38.4,14.0,48.8,202203030103
2022-11-05,福島,3,6,レッドヴァイス,52.8,7.0,13.4,202203030103
2022-11-05,福島,3,7,キュールエライジン,57.5,4.0,22.7,202203030103
2022-11-05,福島,3,8,トランセンドパスト,55.5,5.0,11.3,202203030103
2022-11-05,福島,3,9,ヴァルドマルヌ,53.2,6.0,14.5,202203030103
2022-11-05,福島,3,10,リヴウェル,48.8,10.0,9.9,202203030103
2022-11-05,福島,3,11,タガノリバイバー,52.1,8.0,27.3,202203030103
2022-11-05,福島,3,12,ヒメノジャッカル,46.5,12.0,34.1,202203030103
2022-11-05,福島,3,13,ジュリエットパール,43.6,13.0,15.1,202203030103
2022-11-05,福島,3,14,スカディ,24.6,15.0,7.1,202203030103
2022-11-05,福島,3,15,ヒデノレインボー,61.0,1.0,3.8,202203030103
2022-11-05,福島,6,1,プレミアスコア,47.9,7.0,5.8,202203030106
2022-11-05,福島,6,2,メイショウシヅキ,48.5,6.0,12.1,202203030106
2022-11-05,福島,6,3,ユイノザッパー,40.6,11.0,6.6,202203030106
2022-11-05,福島,6,4,ジューンアマデウス,45.1,9.0,11.2,202203030106
2022-11-05,福島,6,5,アンノウンウォリア,42.1,10.0,19.9,202203030106
2022-11-05,福島,6,6,アコークロー,54.6,3.0,4.0,202203030106
2022-11-05,福島,6,7,フランコイメル,67.8,1.0,10.6,202203030106
2022-11-05,福島,6,8,ウラエウス,46.1,8.0,5.3,202203030106
2022-11-05,福島,6,9,フロンタルジェダイ,49.1,5.0,8.7,202203030106
2022-11-05,福島,6,10,スパニッシュアート,49.4,4.0,18.6,202203030106
2022-11-05,福島,6,11,リヴェット,58.8,2.0,8.7,202203030106
2022-11-05,福島,7,1,フウゲツムヘン,42.8,13.0,999.0,202203030107
2022-11-05,福島,7,2,オールミラージュ,41.2,14.0,999.0,202203030107
